,Person_ID,Person_name,Person_age,Person_gender,Person_ducation_level_ID,Assoc_stimulus,Term1,Term2,cos,Person_term_ID,Person_term_name,Person_term_age,Person_term_gender,Person_term_ducation_level_ID
19,1,магистрант,25,male,2,центр,центр,центр,0.91086036,0,абитуриентка,18,female,1
38,2,родитель,40,female,2,центр,центр,центр,0.74121296,0,абитуриентка,18,female,1
39,2,родитель,40,female,2,центр,центр,центр,0.78502274,1,магистрант,25,male,2
57,3,аспирант,34,male,3,центр,центр,центр,0.83337694,0,абитуриентка,18,female,1
58,3,аспирант,34,male,3,центр,центр,центр,0.7960031,1,магистрант,25,male,2
59,3,аспирант,34,male,3,центр,центр,центр,0.7660185,2,родитель,40,female,2
76,0,абитуриентка,18,female,1,университет,университет,центр,0.7442214,0,абитуриентка,18,female,1
77,0,абитуриентка,18,female,1,университет,университет,центр,0.78186965,1,магистрант,25,male,2
78,0,абитуриентка,18,female,1,университет,университет,центр,0.93433464,2,родитель,40,female,2
79,0,абитуриентка,18,female,1,университет,университет,центр,0.7669829,3,аспирант,34,male,3
95,1,магистрант,25,male,2,университет,университет,центр,0.7126805,0,абитуриентка,18,female,1
96,1,магистрант,25,male,2,университет,университет,центр,0.6779411,1,магистрант,25,male,2
97,1,магистрант,25,male,2,университет,университет,центр,0.7391988,2,родитель,40,female,2
98,1,магистрант,25,male,2,университет,университет,центр,0.7518669,3,аспирант,34,male,3
99,1,магистрант,25,male,2,университет,университет,университет,0.8086957,0,абитуриентка,18,female,1
114,2,родитель,40,female,2,университет,университет,центр,0.82557356,0,абитуриентка,18,female,1
115,2,родитель,40,female,2,университет,университет,центр,0.8965435,1,магистрант,25,male,2
116,2,родитель,40,female,2,университет,университет,центр,0.8005894,2,родитель,40,female,2
117,2,родитель,40,female,2,университет,университет,центр,0.72570896,3,аспирант,34,male,3
118,2,родитель,40,female,2,университет,университет,университет,0.84437895,0,абитуриентка,18,female,1
119,2,родитель,40,female,2,университет,университет,университет,0.73163307,1,магистрант,25,male,2
133,3,аспирант,34,male,3,университет,университет,центр,0.7339374,0,абитуриентка,18,female,1
134,3,аспирант,34,male,3,университет,университет,центр,0.69182706,1,магистрант,25,male,2
135,3,аспирант,34,male,3,университет,университет,центр,0.7380036,2,родитель,40,female,2
136,3,аспирант,34,male,3,университет,университет,центр,0.7522664,3,аспирант,34,male,3
137,3,аспирант,34,male,3,университет,университет,университет,0.7599402,0,абитуриентка,18,female,1
138,3,аспирант,34,male,3,университет,университет,университет,0.8054149,1,магистрант,25,male,2
139,3,аспирант,34,male,3,университет,университет,университет,0.7428153,2,родитель,40,female,2
152,0,абитуриентка,18,female,1,наука/научный,наука/научный,центр,0.70890254,0,абитуриентка,18,female,1
153,0,абитуриентка,18,female,1,наука/научный,наука/научный,центр,0.69668293,1,магистрант,25,male,2
154,0,абитуриентка,18,female,1,наука/научный,наука/научный,центр,0.745688,2,родитель,40,female,2
155,0,абитуриентка,18,female,1,наука/научный,наука/научный,центр,0.7546648,3,аспирант,34,male,3
156,0,абитуриентка,18,female,1,наука/научный,наука/научный,университет,0.7476497,0,абитуриентка,18,female,1
