,Person_ID,Person_name,Person_age,Person_gender,Person_ducation_level_ID,Assoc_stimulus,Term1,Term2,mahalanobis,Person_term_ID,Person_term_name,Person_term_age,Person_term_gender,Person_term_ducation_level_ID
0,0,enrollee,18,female,1,center,center,center,341.86940835353676,1,graduate,25,male,2
1,0,enrollee,18,female,1,center,center,center,375.27059080266173,2,parent,40,female,2
2,0,enrollee,18,female,1,center,center,center,437.95579908598984,3,post-doc,34,male,3
3,0,enrollee,18,female,1,center,center,university,604.2928579585468,0,enrollee,18,female,1
4,0,enrollee,18,female,1,center,center,university,656.7908641479503,1,graduate,25,male,2
5,0,enrollee,18,female,1,center,center,university,667.5879281349361,2,parent,40,female,2
6,0,enrollee,18,female,1,center,center,university,544.9459057682476,3,post-doc,34,male,3
7,0,enrollee,18,female,1,center,center,scientific/science,398.4745632865097,0,enrollee,18,female,1
8,0,enrollee,18,female,1,center,center,scientific/science,1027.1939875156982,1,graduate,25,male,2
9,0,enrollee,18,female,1,center,center,scientific/science,494.3060347016335,2,parent,40,female,2
10,0,enrollee,18,female,1,center,center,scientific/science,573.6101792224661,3,post-doc,34,male,3
11,0,enrollee,18,female,1,center,center,educational/education,621.2234948344424,0,enrollee,18,female,1
12,0,enrollee,18,female,1,center,center,educational/education,632.3485947300959,1,graduate,25,male,2
13,0,enrollee,18,female,1,center,center,educational/education,587.4361536053913,2,parent,40,female,2
14,0,enrollee,18,female,1,center,center,educational/education,741.4460938866761,3,post-doc,34,male,3
15,0,enrollee,18,female,1,center,center,program,771.5146488268161,0,enrollee,18,female,1
16,0,enrollee,18,female,1,center,center,program,648.9357732199747,1,graduate,25,male,2
17,0,enrollee,18,female,1,center,center,program,774.0276539535581,2,parent,40,female,2
18,0,enrollee,18,female,1,center,center,program,675.4518403251125,3,post-doc,34,male,3
19,1,graduate,25,male,2,center,center,center,341.86940835353676,0,enrollee,18,female,1
20,1,graduate,25,male,2,center,center,center,450.6583253208388,2,parent,40,female,2
21,1,graduate,25,male,2,center,center,center,563.5034273268467,3,post-doc,34,male,3
22,1,graduate,25,male,2,center,center,university,674.4339748735271,0,enrollee,18,female,1
23,1,graduate,25,male,2,center,center,university,705.1814173854268,1,graduate,25,male,2
24,1,graduate,25,male,2,center,center,university,695.8460560186014,2,parent,40,female,2
25,1,graduate,25,male,2,center,center,university,638.6748537249532,3,post-doc,34,male,3
26,1,graduate,25,male,2,center,center,scientific/science,408.7484369930869,0,enrollee,18,female,1
27,1,graduate,25,male,2,center,center,scientific/science,1036.6707831348583,1,graduate,25,male,2
28,1,graduate,25,male,2,center,center,scientific/science,566.8919894815531,2,parent,40,female,2
29,1,graduate,25,male,2,center,center,scientific/science,570.7720687992266,3,post-doc,34,male,3
30,1,graduate,25,male,2,center,center,educational/education,634.3608150358438,0,enrollee,18,female,1
31,1,graduate,25,male,2,center,center,educational/education,648.8215852737892,1,graduate,25,male,2
32,1,graduate,25,male,2,center,center,educational/education,612.5557666304718,2,parent,40,female,2
33,1,graduate,25,male,2,center,center,educational/education,772.1293863849298,3,post-doc,34,male,3
34,1,graduate,25,male,2,center,center,program,797.4323719032811,0,enrollee,18,female,1
35,1,graduate,25,male,2,center,center,program,658.4532842986514,1,graduate,25,male,2
36,1,graduate,25,male,2,center,center,program,788.3564433497038,2,parent,40,female,2
37,1,graduate,25,male,2,center,center,program,715.3850330203985,3,post-doc,34,male,3
38,2,parent,40,female,2,center,center,center,375.27059080266173,0,enrollee,18,female,1
39,2,parent,40,female,2,center,center,center,450.6583253208388,1,graduate,25,male,2
40,2,parent,40,female,2,center,center,center,331.23269390969125,3,post-doc,34,male,3
41,2,parent,40,female,2,center,center,university,524.9692899540905,0,enrollee,18,female,1
42,2,parent,40,female,2,center,center,university,558.5294148469304,1,graduate,25,male,2
43,2,parent,40,female,2,center,center,university,718.8596014781654,2,parent,40,female,2
44,2,parent,40,female,2,center,center,university,579.1858355760494,3,post-doc,34,male,3
45,2,parent,40,female,2,center,center,scientific/science,425.8944695345096,0,enrollee,18,female,1
46,2,parent,40,female,2,center,center,scientific/science,1016.883243932095,1,graduate,25,male,2
47,2,parent,40,female,2,center,center,scientific/science,513.1266266761438,2,parent,40,female,2
48,2,parent,40,female,2,center,center,scientific/science,543.7903087680565,3,post-doc,34,male,3
49,2,parent,40,female,2,center,center,educational/education,636.6622036251783,0,enrollee,18,female,1
50,2,parent,40,female,2,center,center,educational/education,618.4657393127089,1,graduate,25,male,2
51,2,parent,40,female,2,center,center,educational/education,575.8002297703688,2,parent,40,female,2
52,2,parent,40,female,2,center,center,educational/education,633.9638510273674,3,post-doc,34,male,3
53,2,parent,40,female,2,center,center,program,726.4756431633277,0,enrollee,18,female,1
54,2,parent,40,female,2,center,center,program,586.0776506682005,1,graduate,25,male,2
55,2,parent,40,female,2,center,center,program,679.3821831287278,2,parent,40,female,2
56,2,parent,40,female,2,center,center,program,607.7884771606822,3,post-doc,34,male,3
57,3,post-doc,34,male,3,center,center,center,437.95579908598984,0,enrollee,18,female,1
58,3,post-doc,34,male,3,center,center,center,563.5034273268467,1,graduate,25,male,2
59,3,post-doc,34,male,3,center,center,center,331.23269390969125,2,parent,40,female,2
60,3,post-doc,34,male,3,center,center,university,490.5327362477824,0,enrollee,18,female,1
61,3,post-doc,34,male,3,center,center,university,545.3157419494845,1,graduate,25,male,2
62,3,post-doc,34,male,3,center,center,university,739.8010545242696,2,parent,40,female,2
63,3,post-doc,34,male,3,center,center,university,561.230376416863,3,post-doc,34,male,3
64,3,post-doc,34,male,3,center,center,scientific/science,509.4025351258188,0,enrollee,18,female,1
65,3,post-doc,34,male,3,center,center,scientific/science,1027.821906745691,1,graduate,25,male,2
66,3,post-doc,34,male,3,center,center,scientific/science,499.19728488874307,2,parent,40,female,2
67,3,post-doc,34,male,3,center,center,scientific/science,580.7143198713667,3,post-doc,34,male,3
68,3,post-doc,34,male,3,center,center,educational/education,617.1309275478054,0,enrollee,18,female,1
69,3,post-doc,34,male,3,center,center,educational/education,623.4618168985581,1,graduate,25,male,2
70,3,post-doc,34,male,3,center,center,educational/education,568.767468991384,2,parent,40,female,2
71,3,post-doc,34,male,3,center,center,educational/education,592.3040150117088,3,post-doc,34,male,3
72,3,post-doc,34,male,3,center,center,program,686.9061272174458,0,enrollee,18,female,1
73,3,post-doc,34,male,3,center,center,program,600.3086199936438,1,graduate,25,male,2
74,3,post-doc,34,male,3,center,center,program,663.4729792262276,2,parent,40,female,2
75,3,post-doc,34,male,3,center,center,program,560.5659823467037,3,post-doc,34,male,3
76,0,enrollee,18,female,1,university,university,center,604.2928579585468,0,enrollee,18,female,1
77,0,enrollee,18,female,1,university,university,center,674.4339748735271,1,graduate,25,male,2
78,0,enrollee,18,female,1,university,university,center,524.9692899540905,2,parent,40,female,2
79,0,enrollee,18,female,1,university,university,center,490.5327362477824,3,post-doc,34,male,3
80,0,enrollee,18,female,1,university,university,university,316.082932526529,1,graduate,25,male,2
81,0,enrollee,18,female,1,university,university,university,674.1201858831395,2,parent,40,female,2
82,0,enrollee,18,female,1,university,university,university,481.48544207023923,3,post-doc,34,male,3
83,0,enrollee,18,female,1,university,university,scientific/science,569.1075237984751,0,enrollee,18,female,1
84,0,enrollee,18,female,1,university,university,scientific/science,980.9856523548028,1,graduate,25,male,2
85,0,enrollee,18,female,1,university,university,scientific/science,482.29765790717846,2,parent,40,female,2
86,0,enrollee,18,female,1,university,university,scientific/science,521.5780059505632,3,post-doc,34,male,3
87,0,enrollee,18,female,1,university,university,educational/education,633.0778437208512,0,enrollee,18,female,1
88,0,enrollee,18,female,1,university,university,educational/education,536.7144007512136,1,graduate,25,male,2
