,Person_ID,Person_name,Person_age,Person_gender,Person_ducation_level_ID,Assoc_stimulus,Term1,Term2,mahalanobis,Person_term_ID,Person_term_name,Person_term_age,Person_term_gender,Person_term_ducation_level_ID
0,0,абитуриентка,18,female,1,центр,центр,центр,314.2554265479964,1,магистрант,25,male,2
1,0,абитуриентка,18,female,1,центр,центр,центр,286.9653835772206,2,родитель,40,female,2
2,0,абитуриентка,18,female,1,центр,центр,центр,340.6825240277436,3,аспирант,34,male,3
3,0,абитуриентка,18,female,1,центр,центр,университет,480.52045012836874,0,абитуриентка,18,female,1
4,0,абитуриентка,18,female,1,центр,центр,университет,456.38415926239725,1,магистрант,25,male,2
5,0,абитуриентка,18,female,1,центр,центр,университет,454.8514963448872,2,родитель,40,female,2
6,0,абитуриентка,18,female,1,центр,центр,университет,433.06607107335185,3,аспирант,34,male,3
7,0,абитуриентка,18,female,1,центр,центр,наука/научный,340.67716810183776,0,абитуриентка,18,female,1
8,0,абитуриентка,18,female,1,центр,центр,наука/научный,1036.1004524269008,1,магистрант,25,male,2
9,0,абитуриентка,18,female,1,центр,центр,наука/научный,361.2682559510061,2,родитель,40,female,2
10,0,абитуриентка,18,female,1,центр,центр,наука/научный,520.0093901356239,3,аспирант,34,male,3
11,0,абитуриентка,18,female,1,центр,центр,образовательный/образование,504.50153560474996,0,абитуриентка,18,female,1
12,0,абитуриентка,18,female,1,центр,центр,образовательный/образование,522.4495953306977,1,магистрант,25,male,2
13,0,абитуриентка,18,female,1,центр,центр,образовательный/образование,510.26349817365804,2,родитель,40,female,2
14,0,абитуриентка,18,female,1,центр,центр,образовательный/образование,537.4708250815694,3,аспирант,34,male,3
15,0,абитуриентка,18,female,1,центр,центр,программа,500.36761477061395,0,абитуриентка,18,female,1
16,0,абитуриентка,18,female,1,центр,центр,программа,518.614630868819,1,магистрант,25,male,2
17,0,абитуриентка,18,female,1,центр,центр,программа,562.7354456745254,2,родитель,40,female,2
18,0,абитуриентка,18,female,1,центр,центр,программа,505.0127363353499,3,аспирант,34,male,3
19,1,магистрант,25,male,2,центр,центр,центр,314.2554265479964,0,абитуриентка,18,female,1
20,1,магистрант,25,male,2,центр,центр,центр,362.8894957512708,2,родитель,40,female,2
21,1,магистрант,25,male,2,центр,центр,центр,464.12702496188786,3,аспирант,34,male,3
22,1,магистрант,25,male,2,центр,центр,университет,533.366201940983,0,абитуриентка,18,female,1
23,1,магистрант,25,male,2,центр,центр,университет,496.0520615602953,1,магистрант,25,male,2
24,1,магистрант,25,male,2,центр,центр,университет,518.3574389594232,2,родитель,40,female,2
25,1,магистрант,25,male,2,центр,центр,университет,524.8845601320523,3,аспирант,34,male,3
26,1,магистрант,25,male,2,центр,центр,наука/научный,372.9250823496939,0,абитуриентка,18,female,1
27,1,магистрант,25,male,2,центр,центр,наука/научный,1055.295385788259,1,магистрант,25,male,2
28,1,магистрант,25,male,2,центр,центр,наука/научный,436.5137562032953,2,родитель,40,female,2
29,1,магистрант,25,male,2,центр,центр,наука/научный,526.3207405130036,3,аспирант,34,male,3
30,1,магистрант,25,male,2,центр,центр,образовательный/образование,531.4026931876048,0,абитуриентка,18,female,1
31,1,магистрант,25,male,2,центр,центр,образовательный/образование,504.9658079999454,1,магистрант,25,male,2
32,1,магистрант,25,male,2,центр,центр,образовательный/образование,511.324047982186,2,родитель,40,female,2
33,1,магистрант,25,male,2,центр,центр,образовательный/образование,573.4849373969805,3,аспирант,34,male,3
34,1,магистрант,25,male,2,центр,центр,программа,519.1152280369785,0,абитуриентка,18,female,1
35,1,магистрант,25,male,2,центр,центр,программа,548.8486688917841,1,магистрант,25,male,2
36,1,магистрант,25,male,2,центр,центр,программа,580.1718090421969,2,родитель,40,female,2
37,1,магистрант,25,male,2,центр,центр,программа,533.3094744147029,3,аспирант,34,male,3
38,2,родитель,40,female,2,центр,центр,центр,286.9653835772206,0,абитуриентка,18,female,1
39,2,родитель,40,female,2,центр,центр,центр,362.8894957512708,1,магистрант,25,male,2
40,2,родитель,40,female,2,центр,центр,центр,298.76384170335956,3,аспирант,34,male,3
41,2,родитель,40,female,2,центр,центр,университет,435.1720953629907,0,абитуриентка,18,female,1
42,2,родитель,40,female,2,центр,центр,университет,416.68174299459326,1,магистрант,25,male,2
43,2,родитель,40,female,2,центр,центр,университет,492.8104763991698,2,родитель,40,female,2
44,2,родитель,40,female,2,центр,центр,университет,439.21634878102446,3,аспирант,34,male,3
45,2,родитель,40,female,2,центр,центр,наука/научный,323.43560652875624,0,абитуриентка,18,female,1
46,2,родитель,40,female,2,центр,центр,наука/научный,1029.8970346031224,1,магистрант,25,male,2
47,2,родитель,40,female,2,центр,центр,наука/научный,377.2611948091642,2,родитель,40,female,2
48,2,родитель,40,female,2,центр,центр,наука/научный,458.968206445122,3,аспирант,34,male,3
49,2,родитель,40,female,2,центр,центр,образовательный/образование,488.90621103726266,0,абитуриентка,18,female,1
50,2,родитель,40,female,2,центр,центр,образовательный/образование,465.60391062596085,1,магистрант,25,male,2
51,2,родитель,40,female,2,центр,центр,образовательный/образование,478.181884486987,2,родитель,40,female,2
52,2,родитель,40,female,2,центр,центр,образовательный/образование,462.96805774961985,3,аспирант,34,male,3
53,2,родитель,40,female,2,центр,центр,программа,458.39267814500784,0,абитуриентка,18,female,1
54,2,родитель,40,female,2,центр,центр,программа,497.2010032967986,1,магистрант,25,male,2
55,2,родитель,40,female,2,центр,центр,программа,500.86829997662664,2,родитель,40,female,2
56,2,родитель,40,female,2,центр,центр,программа,464.1450314501012,3,аспирант,34,male,3
57,3,аспирант,34,male,3,центр,центр,центр,340.6825240277436,0,абитуриентка,18,female,1
58,3,аспирант,34,male,3,центр,центр,центр,464.12702496188786,1,магистрант,25,male,2
59,3,аспирант,34,male,3,центр,центр,центр,298.76384170335956,2,родитель,40,female,2
60,3,аспирант,34,male,3,центр,центр,университет,399.50961981593673,0,абитуриентка,18,female,1
61,3,аспирант,34,male,3,центр,центр,университет,386.1466018470809,1,магистрант,25,male,2
62,3,аспирант,34,male,3,центр,центр,университет,493.4180519956317,2,родитель,40,female,2
63,3,аспирант,34,male,3,центр,центр,университет,400.74691884776377,3,аспирант,34,male,3
64,3,аспирант,34,male,3,центр,центр,наука/научный,383.6550898037314,0,абитуриентка,18,female,1
65,3,аспирант,34,male,3,центр,центр,наука/научный,1037.21345383141,1,магистрант,25,male,2
66,3,аспирант,34,male,3,центр,центр,наука/научный,338.7500235309451,2,родитель,40,female,2
67,3,аспирант,34,male,3,центр,центр,наука/научный,494.9111283318587,3,аспирант,34,male,3
68,3,аспирант,34,male,3,центр,центр,образовательный/образование,468.1695015294679,0,абитуриентка,18,female,1
69,3,аспирант,34,male,3,центр,центр,образовательный/образование,491.92223172114143,1,магистрант,25,male,2
70,3,аспирант,34,male,3,центр,центр,образовательный/образование,460.5768816884057,2,родитель,40,female,2
71,3,аспирант,34,male,3,центр,центр,образовательный/образование,428.41744093819506,3,аспирант,34,male,3
72,3,аспирант,34,male,3,центр,центр,программа,459.6236002506026,0,абитуриентка,18,female,1
73,3,аспирант,34,male,3,центр,центр,программа,485.9466796157702,1,магистрант,25,male,2
74,3,аспирант,34,male,3,центр,центр,программа,511.1785088015209,2,родитель,40,female,2
75,3,аспирант,34,male,3,центр,центр,программа,449.8113410514678,3,аспирант,34,male,3
76,0,абитуриентка,18,female,1,университет,университет,центр,480.52045012836874,0,абитуриентка,18,female,1
77,0,абитуриентка,18,female,1,университет,университет,центр,533.366201940983,1,магистрант,25,male,2
78,0,абитуриентка,18,female,1,университет,университет,центр,435.1720953629907,2,родитель,40,female,2
79,0,абитуриентка,18,female,1,университет,университет,центр,399.50961981593673,3,аспирант,34,male,3
80,0,абитуриентка,18,female,1,университет,университет,университет,254.38404249549046,1,магистрант,25,male,2
81,0,абитуриентка,18,female,1,университет,университет,университет,454.9629213517913,2,родитель,40,female,2
82,0,абитуриентка,18,female,1,университет,университет,университет,333.9069227543978,3,аспирант,34,male,3
83,0,абитуриентка,18,female,1,университет,университет,наука/научный,432.9885569137978,0,абитуриентка,18,female,1
84,0,абитуриентка,18,female,1,университет,университет,наука/научный,995.677098318284,1,магистрант,25,male,2
85,0,абитуриентка,18,female,1,университет,университет,наука/научный,371.3460809460576,2,родитель,40,female,2
86,0,абитуриентка,18,female,1,университет,университет,наука/научный,421.15455932799944,3,аспирант,34,male,3
87,0,абитуриентка,18,female,1,университет,университет,образовательный/образование,450.2885216428055,0,абитуриентка,18,female,1
88,0,абитуриентка,18,female,1,университет,университет,образовательный/образование,401.993988954109,1,магистрант,25,male,2
89,0,абитуриентка,18,female,1,университет,университет,образовательный/образование,431.6463167336036,2,родитель,40,female,2
90,0,абитуриентка,18,female,1,университет,университет,образовательный/образование,455.83602705546895,3,аспирант,34,male,3
91,0,абитуриентка,18,female,1,университет,университет,программа,456.78687940377455,0,абитуриентка,18,female,1
92,0,абитуриентка,18,female,1,университет,университет,программа,481.3811258660316,1,магистрант,25,male,2
93,0,абитуриентка,18,female,1,университет,университет,программа,512.2394307147009,2,родитель,40,female,2
94,0,абитуриентка,18,female,1,университет,университет,программа,489.8403830164827,3,аспирант,34,male,3
95,1,магистрант,25,male,2,университет,университет,центр,456.38415926239725,0,абитуриентка,18,female,1
96,1,магистрант,25,male,2,университет,университет,центр,496.0520615602953,1,магистрант,25,male,2
97,1,магистрант,25,male,2,университет,университет,центр,416.68174299459326,2,родитель,40,female,2
98,1,магистрант,25,male,2,университет,университет,центр,386.1466018470809,3,аспирант,34,male,3
99,1,магистрант,25,male,2,университет,университет,университет,254.38404249549046,0,абитуриентка,18,female,1
100,1,магистрант,25,male,2,университет,университет,университет,399.22846980002606,2,родитель,40,female,2
101,1,магистрант,25,male,2,университет,университет,университет,389.00630122736567,3,аспирант,34,male,3
102,1,магистрант,25,male,2,университет,университет,наука/научный,410.2524445234218,0,абитуриентка,18,female,1
103,1,магистрант,25,male,2,университет,университет,наука/научный,1008.9903419888054,1,магистрант,25,male,2
104,1,магистрант,25,male,2,университет,университет,наука/научный,348.02068490099606,2,родитель,40,female,2
105,1,магистрант,25,male,2,университет,университет,наука/научный,488.00396477545746,3,аспирант,34,male,3
