,Person_ID,Person_name,Person_age,Person_gender,Person_ducation_level_ID,Assoc_stimulus,Term1,Term2,cos,Person_term_ID,Person_term_name,Person_term_age,Person_term_gender,Person_term_ducation_level_ID
0,0,абитуриентка,18,female,1,центр,центр,центр,0.93931204,1,магистрант,25,male,2
1,0,абитуриентка,18,female,1,центр,центр,центр,0.92781603,2,родитель,40,female,2
2,0,абитуриентка,18,female,1,центр,центр,центр,0.9009476,3,аспирант,34,male,3
3,0,абитуриентка,18,female,1,центр,центр,университет,0.8119113,0,абитуриентка,18,female,1
4,0,абитуриентка,18,female,1,центр,центр,университет,0.77843904,1,магистрант,25,male,2
5,0,абитуриентка,18,female,1,центр,центр,университет,0.76747227,2,родитель,40,female,2
6,0,абитуриентка,18,female,1,центр,центр,университет,0.8467738,3,аспирант,34,male,3
7,0,абитуриентка,18,female,1,центр,центр,наука/научный,0.9140596,0,абитуриентка,18,female,1
8,0,абитуриентка,18,female,1,центр,центр,наука/научный,0.3848009,1,магистрант,25,male,2
9,0,абитуриентка,18,female,1,центр,центр,наука/научный,0.87394637,2,родитель,40,female,2
10,0,абитуриентка,18,female,1,центр,центр,наука/научный,0.82899123,3,аспирант,34,male,3
11,0,абитуриентка,18,female,1,центр,центр,образовательный/образование,0.8016515,0,абитуриентка,18,female,1
12,0,абитуриентка,18,female,1,центр,центр,образовательный/образование,0.79497033,1,магистрант,25,male,2
13,0,абитуриентка,18,female,1,центр,центр,образовательный/образование,0.82111263,2,родитель,40,female,2
14,0,абитуриентка,18,female,1,центр,центр,образовательный/образование,0.7162491,3,аспирант,34,male,3
15,0,абитуриентка,18,female,1,центр,центр,программа,0.69645244,0,абитуриентка,18,female,1
16,0,абитуриентка,18,female,1,центр,центр,программа,0.7793145,1,магистрант,25,male,2
17,0,абитуриентка,18,female,1,центр,центр,программа,0.68598604,2,родитель,40,female,2
18,0,абитуриентка,18,female,1,центр,центр,программа,0.7629858,3,аспирант,34,male,3
